Universitas,Prodi,Rank
sekolah tinggi ilmu kesehatan pekanbaru medical center,kebidanan,999.0
sekolah tinggi ilmu kesehatan mitra keluarga,keperawatan,999.0
politeknik kesehatan kementerian kesehatan palangkaraya,kebidanan,999.0
politeknik kesehatan kementerian kesehatan gorontalo,farmasi,999.0
politekknik kesehatan kementerian kesehatan riau,gizi,999.0
universitas bina mandiri gorontalo,administrasi rumah sakit,999.0
sekolah tinggi ilmu kesehatan bina bangsa majene,kesehatan masyarakat,999.0
politeknik kesehatan kementerian kesehatan yogyakarta,keperawatan anestesiologi,999.0
politeknik kesehatan kementerian kesehatan kupang,keperawatan,999.0
politeknik kesehatan kementerian kesehatan aceh,gizi,999.0
politeknik cendrawasih palu,teknologi laboratorium medis,999.0
universitas strada indonesia,kebidanan,999.0
sekolah tinggi farmasi mahaganesha,farmasi,999.0
politeknik kesehatan kementerian kesehatan palu,sanitasi,999.0
politeknik kesehatan kementerian kesehatan gorontalo,kebidanan,999.0
universitas pahlawan tuanku tambusai,kebidanan,999.0
universitas muhammadiyah lamongan,kebidanan,999.0
sekolah tinggi ilmu kesehatan wira medika bali,keperawatan,999.0
sekolah tinggi ilmu kesehatan insan se agung,kebidanan,999.0
politeknik kesehatan kementerian kesehatan gorontalo,gizi,999.0
institut kesehatan deli husada deli tua,kedokteran,999.0
universitas negeri padang,kedokteran hewan,21.0
universitas muhammadiyah metro,kedokteran,999.0
universitas mega buana palopo,kedokteran gigi,999.0
universitas indo global mandiri,kedokteran,999.0
universitas dr soetomo,kebidanan,999.0
universitas dian nuswantoro,manajemen informasi kesehatan,999.0
sekolah tinggi ilmu kesehatan st elisabeth keuskupan maumere,fisioterapi,999.0
sekolah tinggi ilmu kesehatan pgi cikini,keselamatan dan kesehatan kerja,999.0
sekolah tinggi ilmu kesehatan bethesda tomohon,keperawatan,999.0
politeknik muhammadiyah makassar,teknologi radiologi pencitraan,999.0
akademi teknik radiologi dr adji saptogino,teknologi radiologi pencitraan,999.0
universitas negeri semarang,gizi,999.0
universitas negeri padang,kedokteran,21.0
